OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,City,Area,RestaurantID,RestaurantName,Cuisine,RestaurantRating,ItemName,CategoryName,Quantity,UnitPrice,TotalAmount,OrderStatus,PaymentMode,PaymentStatus,PartnerName,VehicleType,DistanceKM,DeliveryTimeMin,FoodRating,DeliveryRating
ORD10397,30-Jan-24,CUST2295,Suresh Nair,M,31, Mumbai ,Dadar,R009,The Bakers Oven,Bakery,4,Cupcake,Desserts,3,80,240,Cancelled,Wallet,Failed,Aarav Reddy,E-Bike,,32,,
ORD10446,29-Dec-24,CUST2330,Priya Joshi,MALE,36,Bangalore,Jayanagar,R003,Dragon Wok,Chinese,4,Veg Noodles,Noodles,3,160,480,Delivered,DebitCard,Paid,Pooja Gupta,E-Bike,1.2,17,5,3
ORD10061,08/27/2024,CUST2016,Kiran Das,,60,kolkata,Park Street,R007,Sushi Yama,Japanese,4.2,Chicken Ramen,Main Course,3,280,840,Returned,WALLET,Refunded,Manoj Nair,Bicycle,13.4,77,,
ORD10116,30-06-2024 18:16,CUST2086,Karthik Bose,male,29,pune,Hinjewadi,R015,Chaat Corner,Street Food,4,Pani Puri,Street Food,1,Rs.60.0,Rs.60.0,DELIVERED,wallet,Paid,Ravi Rao,Scooter,7.3,45,4,5
ORD10424,18-01-2024 12:18,CUST2224,Sunita Patel,m,32,Hyderabad,,R015,Chaat Corner,Street Food,4,Bhel Puri,Street Food,3,70,210,cancelled,Credit Card,Failed,Reyansh Sharma,E-Bike,5,23,,
ORD10147,13-07-2024 08:40,CUST2107,Amit Chatterjee,,24,Bangalore,Koramangala, R005 ,Burger Point,Fast Food,3.9,Cheese Burger,Burger,5,Rs.130.0,650,Returned,WALLET,Refunded,Kiran Desai,Scooter,6.4,43,,
ORD10411,17-06-2024 23:58,CUST2306,Sai Mukherjee,M,30,Mumbai,Bandra, R001 ,Biryani Blues,Biryani,4.3,Mutton Biryani,Main Course,5,280,1400,DELIVERED,WALLET,Paid,Aarohi Patel,Bike,14.4,65,3,5
ORD10330,06-07-2024 08:03,CUST2241,NA,f,54,Hyderabad,Secunderabad,R002,Pizza Palace,Italian,4.1,Pepperoni Pizza,Pizza,1,Rs.320.0,320,delivered,wallet,Paid,Pooja Gupta,E-Bike,6.5,39,5,4
ORD10286,08/30/2024,CUST2169,Aadhya Gupta,m,57,pune,Kothrud,R001,Biryani Blues,Biryani,4.3,Chicken Biryani,Main Course,2,220,₹440.0,DELIVERED,CREDIT CARD,Paid,Anika Kapoor,Bicycle,2.2,23,5,5
ORD10200,03-04-2024 23:01,CUST2052,Krishna Chatterjee,Female,40, Kolkata ,Salt Lake,R004,Punjabi Tadka,North Indian,4.4,Butter Chicken,Main Course,4,260,1040,Delivered,debit card,Paid,Sai Iyer,Scooter,12.5,67,3,3
ORD10340,19-12-2024 11:02,CUST2249,Kiran Sharma,Female,36,,Saket,R003,Dragon Wok,Chinese,4,Spring Rolls,Starters,1,140,140,DELIVERED,Debit Card,Paid,Suresh Kumar,Scooter,4.7,31,5,4
ORD10140,16-06-2024 09:01,CUST2092,Vikram Malhotra,f,45, Chennai ,Anna Nagar,R012,Noodle Story,Chinese,3.7,Chicken Manchurian,Main Course,3,210,630,DELIVERED,upi,Paid,Nikhil Malhotra,Scooter,7.1,,3,4
ORD10395,02-02-2024 23:42,CUST2293,Priya Menon,M,55,Bangalore,Electronic City,R006,South Spice,South Indian,4.5,Idli Sambar,Breakfast,1,Rs.70.0,70,delivered,Debit Card,Paid,Lakshmi Verma,Scooter,1.6,13,4,5
ORD10324,28-12-2024 02:00,CUST2237,Aadhya Das,M,,PUNE,Kharadi,R005,Burger Point,Fast Food,3.9,French Fries,Sides,2,90,180,Delivered,Wallet,Paid,Ishaan Joshi,Bike,7.3,46,3,4
